Id,Number,Category,Comment,Readability&Maintainability,Functionality,Design,Questions,Responses,NotUseful
655030369,2220,Issue,release_notes: Updated documentation to refer to `main` branch,,,,,,
645328258,2214,Issue,"This needs to exist in the GitHub API to be supported in Octokit, but I don't see it documented here: please bump this issue when you see the API is available",,,,,,
643395373,2212,Issue,closed here as i need for rest apis,,,,,,
643235967,2211,Issue,You need to specify a User-Agent header to interact with the GitHub API:,,,,,,
644067151,2211,Issue,"Hi It is Working with adding User-Agent.client.Headers.Add(""User-Agent"", ""Awesome-Octocat-App"");Thank you very much.",,,,,,
642926604,2208,Issue,"is there a public repository you can share that illustrates the problem? (or was showing the issue?)The first thing that comes to mind here is caching, with three potential ways to get this number: - `watchers_count` on the repository returned via the API could be cached for a period of time because of all the different places in the GitHub API where `repository` is used - enumerating the [List Watchers] API would require getting the latest details about each watcher, and thus is more likely to be correct (but slower) - but if the website is showing a different watchers count it could be computing this in a different way to the API",,,,,,
642930612,2208,Issue,"would work (if you provide a key/orgName in settings, and disable the auth). I'll try to get a simpler repro. The current state of that PR has both data points showing side by side in the details page for a given repository. I'll try to do a PR off of my PR so that you can just provide a key & orgName and not muck around with other stuff.I think I've ruled out caching as a consideration on my end because this is happening on startup of the app on first view (we retrieve the list of repositories and there's another ""detail"" page where I provide the results of getting watchers via the activity API). The summary page is returning Watcher.I'd expect GitHub caching wouldn't be relevant here. This is a tool to archive old repos, and some of these watchers haven't changed for years so I imagine would be showing up.Although...maybe it's *because* the repos in question are old that the WatcherCount property is smaller than I'd expect?",,,,,,
642932664,2208,Issue,"repro branch here: Requires you to input AccessToken and OrganizationName in appSettings or user secrets.In my case, the steps are:* Click  ""Sunsetting"" in the menu* A list of repos will load* Choose a repository to go to its details page* Note the item under the eye icon (from the Repository object) and the Watchers (from the activity API) are different. ![image]I can't understand if there's anything in particular about a given repo that causes this to be the returned number.One thought -- is there a difference between people who are subscribed vs auto-subscribed because they watch repositories by default in an org? If the default folks wouldn't count toward WatcherCount, we may be on to something.",,,,,,
642934512,2208,Issue,"What's wild about your repo is that the field we're supposed to be deprecating is correct when looking at it directly from the API ``:I was under the impression that we were standardizing on one value here, but the [example repo] in our docs makes me wonder if they're actually different underneath, and this is just some confusion between the API and the website itself.Also, the [List Watchers API] is actually described as `GET /repos/:owner/:repo/subscribers` and in your situation `` returns the 3 entities. So maybe `watchers_count` is actually the value that we're supposed to obsolete? I need to investigate some more because it's all rather fuzzy right now...",,,,,,
642935391,2208,Issue,So maybe watchers_count is actually the value that we're supposed to obsolete?I think you're on to something there. Mostly I'm relieved that it's at least stumped you temporarily too. 😆,,,,,,
642936063,2208,Issue,"What's wild about your repo is that the field we're supposed to be deprecating is correct when looking at it directly from the API Ah, to be clear, this repo isn't the one with the incorrect count. It's the one with the project that is utilizing Octokit. May be worth confirming [the repro steps against the branch I linked earlier]. (This is not urgent by the way. I appreciate you jumping on it so quickly but if you need to return to it later I understand.)",,,,,,
643010764,2208,Issue,"One other theory I'm going to follow up on but dropping here:This org is a private org and some people have since moved on. I wonder if it's possible that the watchers list contains people who no longer have access, and so the effective Watcher count is therefore smaller.",,,,,,
642600364,2207,Issue,"that stack trace doesn't seem to mention Octokit, and it looks like it's related to NLog trying to format a GUID found in some payload. We don't use NLog inside Octokit, so I'm not sure how to reproduce this or what the root cause is.",,,,,,
642609218,2207,Issue,"Yeah it was due to our logger which hides real exception.  The exception was actually not found. Does release api need to pass credentials?Octokit.NotFoundException: Not Found   at Octokit.Connection.HandleErrors(IResponse response) in /Users/shiftkey/src/octokit.net/Octokit/Http/Connection.cs:line 663   at Octokit.Connection.RunRequest(IRequest request, CancellationToken cancellationToken) in /Users/shiftkey/src/octokit.net/Octokit/Http/Connection.cs:line 642   at Octokit.Connection.Run[T](IRequest request, CancellationToken cancellationToken) in /Users/shiftkey/src/octokit.net/Octokit/Http/Connection.cs:line 626   at Octokit.ApiConnection.Post[T](Uri uri, Object data, String accepts, String contentType) in /Users/shiftkey/src/octokit.net/Octokit/Http/ApiConnection.cs:line 273",,,,,,
642611291,2207,Issue,"yes, releases need the `client.Credentials` to be set as [the documentation] indicates: Users with push access to the repository can create a release.",,,,,,
642612700,2207,Issue,Yeah it is working now. Thx a lot for helping me!,,,,,,
